experiment,game_id,white_strategy,black_strategy,result,winner,move_count,duration_s,error,started_at,finished_at
"opening-intelligence-endgame vs all","eee2c3d8-07b9-4bd8-bb03-e6cfaadc9e07","opening-intelligence-endgame","iterative-deepening-endgame","WhiteWin","white",47,97,670,"",2026-04-12 01:14:46,2026-04-12 01:16:24
"opening-intelligence-endgame vs all","57f7fb55-9e6f-4fa7-8732-c44c39951028","opening-intelligence-endgame","iterative-deepening-endgame","","",0,300,017,"Timed out while waiting for backend game completion",2026-04-12 01:16:24,2026-04-12 01:21:24
"opening-intelligence-endgame vs all","b32ac422-3aa0-44a4-9e6d-13a72f92683f","opening-intelligence-endgame","iterative-deepening-endgame","Draw","",133,281,515,"",2026-04-12 01:21:24,2026-04-12 01:26:05
"opening-intelligence-endgame vs all","3b09d135-8f14-4be4-8724-3923363bf1d6","opening-intelligence-endgame","iterative-deepening-endgame","","",0,300,013,"Timed out while waiting for backend game completion",2026-04-12 01:26:06,2026-04-12 01:31:06
"opening-intelligence-endgame vs all","84b2fbdc-8fe7-4ec5-881f-4ad47404b229","opening-intelligence-endgame","iterative-deepening-endgame","BlackWin","black",34,67,449,"",2026-04-12 01:31:06,2026-04-12 01:32:13
"opening-intelligence-endgame vs all","3813d6ca-8b82-4ac7-b4e1-99c3b0fc0f87","opening-intelligence-endgame","iterative-deepening-endgame","BlackWin","black",92,184,675,"",2026-04-12 01:32:13,2026-04-12 01:35:18
"opening-intelligence-endgame vs all","f5714f81-1d7b-4936-a190-c3cb221b51a5","opening-intelligence-endgame","iterative-deepening-endgame","WhiteWin","white",91,192,801,"",2026-04-12 01:35:18,2026-04-12 01:38:30
"opening-intelligence-endgame vs all","79fcc2e6-59b4-479b-ac73-fb8273edc861","opening-intelligence-endgame","iterative-deepening-endgame","BlackWin","black",102,216,265,"",2026-04-12 01:38:31,2026-04-12 01:42:07
"opening-intelligence-endgame vs all","710c6002-3e52-423e-9cf4-5d33bbe96913","opening-intelligence-endgame","iterative-deepening-endgame","","",0,300,013,"Timed out while waiting for backend game completion",2026-04-12 01:42:07,2026-04-12 01:47:07
"opening-intelligence-endgame vs all","af4ec10a-796b-431a-b147-f4eed23d0a68","opening-intelligence-endgame","iterative-deepening-endgame","BlackWin","black",46,95,306,"",2026-04-12 01:47:07,2026-04-12 01:48:42
"opening-intelligence-endgame vs all","95336323-b58a-4773-ae95-ec65053d4243","opening-intelligence-endgame","iterative-deepening-endgame","","",0,300,020,"Timed out while waiting for backend game completion",2026-04-12 01:48:42,2026-04-12 01:53:42
"opening-intelligence-endgame vs all","a231a021-4294-431f-82c1-a942593983ae","opening-intelligence-endgame","iterative-deepening-endgame","BlackWin","black",86,177,830,"",2026-04-12 01:53:42,2026-04-12 01:56:40
